Property code,Page,Must fix,Issues,Status,Last enforcement date,First enforcement date,Publisher contact,Request Review ,Fixed
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=mystery3j&no=404928,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=pridepc_new3&no=10514036,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=pridepc_new3&no=10730017,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=sc&no=203253,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,gall.dcinside.com/board/view/?id=tree&no=163987,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=laptop&no=1490,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=nutrition&no=172961,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=2979,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4058,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4195,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4547,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=4850,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=solesmell&no=5337,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=urology&no=4324,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=urology&no=4682,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,gall.dcinside.com/mgallery/board/view/?id=urology&no=88,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-06,,,
ca-video-pub-1474238860523410,http://video.pullbbang.com/movie/movieView.pull?code=16353685,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,http://www2.pullbbang.com/video.pull?vcode=l16386126,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,https://ngukiemphithien.vn/crack-microsoft-office-2010/,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,https://ngukiemphithien.vn/download-microsoft-visio-2016-full/,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,https://ngukiemphithien.vn/microsoft-office-365-iso-full-6/,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,https://ngukiemphithien.vn/microsoft-visio-2013-full-3/,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,https://ngukiemphithien.vn/windows-7-full-iso-5/,Yes,Copyrighted material (DMCA),Ad Serving Disabled,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/giai-tri/cuoi-lon-ruot-voi-bo-truyen-tranh-cua-hoa-si-tai-nang-den-tu-ukraine-239566.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/giai-tri/nhom-sinh-vien-sec-ranh-roi-cosplay-nhung-canh-ky-quac-trong-sach-thoi-trung-co-753003.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/10-phim-han-quoc-cuc-nong-khan-gia-phai-can-than-dong-cua-truoc-khi-xem-121387.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/anata-no-ban-desu-khi-hoi-hang-xom-chan-choi-ma-soi-chuyen-qua-tro-thu-tieu-nguoi-that-634253.html,No,Shocking content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/can-canh-nhan-sac-tinh-khoi-cua-truc-anh-nang-mat-biec-tung-khien-bao-nguoi-thao-thuc-mat-ngu-585725.html,No,Adult: Sexual content;Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/dung-bi-poster-6-bo-anime-nay-danh-lua-chung-khong-danh-cho-tre-vi-thanh-nien-dau-252211.html,No,Adult: Sexual content;Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/kakafukaka-thanh-nien-cau-xin-ban-gai-cu-ngu-cung-de-chua-benh-bat-luc-664651.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/ruk-lam-sen-chuyen-tinh-bach-hop-kich-tinh-giua-me-chong-va-nang-dau-khien-dan-tinh-nga-ngua-612029.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/the-end-of-the-fing-worldva-nhung-cau-thoai-khien-mat-ta-dam-nuoc-nhung-moi-ta-lai-mim-cuoi-805225.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/phim-anh/thien-linh-cai-bat-ngo-bi-doi-lich-chieu-nguyen-nhan-do-dau-630083.html,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/giai-tri-cung-lac/the-gioi/kago-shintaro-thien-tai-ero-guro-bien-nhung-hoang-tuong-quai-di-tro-thanh-ve-dep-thoi-thuong-597841.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/cuoc-song/lo-clip-nhay-cam-cua-hot-girl-cong-dong-mang-viet-nam-van-thich-them-dau-vao-lua-628013.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/cuoc-song/nhat-ban-he-mo-nan-quay-roi-tren-tau-dien-ngam-va-chuyen-ve-co-gai-6-nam-bi-sam-so-noi-cong-cong-673277.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/cuoc-song/trach-nam-trach-nu-otaku-neet-hikikomori-chac-chan-ban-tung-qua-nghe-nhung-chua-chac-da-hieu-dung-665349.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/cuoc-song/tranh-biem-hoa-sau-cay-ve-nhung-dieu-ai-cung-biet-nhung-khong-ai-dam-noi-ra-339712.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/cuoc-song/vai-vet-liem-yeu-cua-thu-cung-cung-co-the-dan-den-cai-chet-cho-chu-nhan-533683.html,No,Adult: Sexual content;Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/doc-la/khi-nhung-du-khach-bo-quen-nao-treo-vao-chuong-thu-du-710947.html,No,Shocking content,Restricted demand,2020-01-06,2020-01-05,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/kinh-di/5-hinh-tuc-tra-tan-tu-hinh-tan-bao-nhat-trong-lich-su-phong-kien-trung-hoa-294991.html,No,Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/kinh-di/chuyen-hau-truong-ghe-ron-cua-cannibal-holocaust-bo-phim-an-thit-nguoi-bi-50-nuoc-cam-chieu-539529.html,No,Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/kinh-di/lam-phim-ve-chua-ekip-san-xuat-the-passion-of-the-christ-gap-phai-hang-loat-su-co-ky-bi-dang-so-328639.html,No,Shocking content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/kinh-di/nhung-bo-manga-kinh-di-lung-danh-khuyen-nguoi-doc-nen-di-toilet-truoc-khi-xem-135526.html,No,Adult: Sexual content;Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/kinh-di/nhung-mau-truyen-dang-so-nhat-trong-series-kinh-di-noi-tieng-danh-cho-tre-em-scary-stories-to-tell-in-the-dark-556177.html,No,Shocking content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,lostbird.vn/kham-pha-cung-lac/kinh-di/nhung-thi-nghiem-kinh-hoang-ma-duc-quoc-xa-tung-thuc-hien-tren-con-nguoi-p1-116539.html,No,Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/song-deep-cung-lac/beauty/chua-da-tao-ra-dan-ba-nhung-quy-du-lai-sinh-ra-brigitte-bardot-681559.html,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/song-deep-cung-lac/tinh-yeu/bi-crush-boi-mot-yandere-bi-kip-song-sot-khi-lo-yeu-phai-voi-nu-nhan-bien-thai-666807.html,No,Adult: Sexual content;Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,lostbird.vn/song-dep-cung-lac/chi-em/ba-di-go-cua-va-tram-ngan-noi-kho-cuoi-ra-nuoc-mat-cua-hoi-con-gai-466625.html,No,Adult: Sexual content;Shocking content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,m.allthatboots.com/news/board_list_view.php?gisa_uniq=20180326172905,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,m.asiatoday.co.kr/kn/view.php?key=20170207010004248,No,Adult: Links to adult sites,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,m.asiatoday.co.kr/kn/view.php?key=20190422001053219,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,m.asiatoday.co.kr/kn/view.php?key=206837,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,m.asiatoday.co.kr/kn/view.php?key=466693,Yes,Ads & Content Overlap;Adult: Links to adult sites,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,m.asiatoday.co.kr/kn/view.php?key=557715,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,m.metroseoul.co.kr/news/newsview?newscd=2018112800136,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-pub-1474238860523410,m.sagunin.com/,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,manpeace.org/bbs/board.php?bo_table=celeb&wr_id=60068,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-06,,,
ca-video-pub-1474238860523410,manpeace.org/bbs/board.php?bo_table=jage&wr_id=163160,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,manpeace.org/bbs/board.php?bo_table=jage&wr_id=169763,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,manpeace.org/bbs/board.php?bo_table=user&wr_id=105965,Yes,Dangerous or derogatory content,Ad Serving Disabled,2020-01-07,2020-01-07,,,
ca-pub-1474238860523410,mbn.mk.co.kr/,No,Shocking content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2007092711102679643&outlink=1&ref=http%3A%2F%2Fsearch.daum.net,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2013081915220019853,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2013121819048238943,Yes,Ads & Content Overlap,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2014103117471934659,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2015010716594628391,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2015021013314613803,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2015021718074798855,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2015062415160733940&outlink=1&ref=http%3A%2F%2Fsearch.naver.com,Yes,Adult: Sexual content;Ads & Content Overlap,Restricted demand,2020-01-07,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2015081315383132093,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2016061116150388408,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2016072615133813454,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018011013253432765,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018080810110469068,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018081617224347717,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-05,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018082210055982205,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018101017403369339,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
